Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,EPL,Burnley,Jack Cork,eng ENG,MF,32.0,18.6,423.0,577.0,73.3,6846.0,1918.0,217.0,273.0,79.5,143.0,191.0,74.9,43.0,71.0,60.6,0.0,0.3,0.3,-0.3,6.0,45.0,5.0,1.0,46.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Connor Roberts,wls WAL,DF,25.0,18.8,579.0,863.0,67.1,9841.0,4321.0,271.0,314.0,86.3,232.0,355.0,65.4,55.0,138.0,39.9,1.0,1.2,1.5,-0.2,13.0,46.0,17.0,5.0,61.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Nathan Collins,ie IRL,DF,20.0,18.6,448.0,652.0,68.7,8648.0,3847.0,158.0,201.0,78.6,232.0,297.0,78.1,50.0,127.0,39.4,0.0,1.5,0.8,-1.5,6.0,46.0,5.0,1.0,44.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Aaron Lennon,eng ENG,"MF,FW",34.0,17.2,252.0,382.0,66.0,3280.0,783.0,156.0,197.0,79.2,65.0,102.0,63.7,10.0,28.0,35.7,0.0,0.5,0.5,-0.5,9.0,14.0,4.0,2.0,19.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Wout Weghorst,nl NED,FW,28.0,16.1,276.0,434.0,63.6,2956.0,740.0,184.0,260.0,70.8,45.0,71.0,63.4,7.0,11.0,63.6,3.0,1.5,1.3,1.5,14.0,17.0,7.0,1.0,26.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Chris Wood,nz NZL,FW,29.0,15.2,178.0,310.0,57.4,2190.0,520.0,124.0,203.0,61.1,37.0,63.0,58.7,4.0,6.0,66.7,0.0,0.5,0.4,-0.5,9.0,27.0,4.0,0.0,23.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Jay Rodriguez,eng ENG,FW,32.0,15.4,185.0,313.0,59.1,2439.0,672.0,127.0,185.0,68.6,39.0,78.0,50.0,9.0,19.0,47.4,2.0,2.1,0.5,-0.1,12.0,16.0,3.0,1.0,19.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Jóhann Berg Guðmundsson,is ISL,MF,30.0,12.2,209.0,341.0,61.3,2955.0,687.0,132.0,166.0,79.5,50.0,85.0,58.8,15.0,45.0,33.3,1.0,0.5,0.8,0.5,6.0,7.0,11.0,9.0,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Ashley Barnes,eng ENG,FW,31.0,9.0,122.0,198.0,61.6,1577.0,452.0,81.0,108.0,75.0,30.0,52.0,57.7,5.0,10.0,50.0,0.0,0.9,1.0,-0.9,8.0,21.0,5.0,1.0,17.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Erik Pieters,nl NED,DF,32.0,8.1,242.0,348.0,69.5,3727.0,1517.0,131.0,160.0,81.9,85.0,112.0,75.9,15.0,43.0,34.9,1.0,1.0,0.3,0.0,2.0,16.0,1.0,1.0,15.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Matěj Vydra,cz CZE,FW,29.0,7.5,75.0,107.0,70.1,789.0,190.0,52.0,70.0,74.3,10.0,16.0,62.5,1.0,2.0,50.0,3.0,0.7,0.6,2.3,6.0,1.0,2.0,0.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Kevin Long,ie IRL,DF,30.0,4.6,79.0,102.0,77.5,1696.0,601.0,19.0,22.0,86.4,46.0,54.0,85.2,14.0,21.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Wayne Hennessey,wls WAL,GK,34.0,2.0,41.0,79.0,51.9,1981.0,1872.0,2.0,2.0,100.0,6.0,6.0,100.0,33.0,69.0,47.8,0.0,0.2,0.1,-0.2,3.0,6.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Dale Stephens,eng ENG,MF,32.0,1.4,46.0,57.0,80.7,812.0,228.0,20.0,27.0,74.1,17.0,20.0,85.0,7.0,7.0,100.0,0.0,0.0,0.1,0.0,1.0,4.0,2.0,0.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Squad Total,,,28.5,38.0,9454.0,14107.0,67.0,178791.0,80195.0,4297.0,5327.0,80.7,3306.0,4472.0,73.9,1457.0,3216.0,45.3,26.0,31.2,28.0,-5.2,286.0,877.0,240.0,84.0,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Burnley,Opponent Total,,,26.7,38.0,16821.0,21508.0,78.2,288649.0,99233.0,8023.0,9188.0,87.3,6678.0,7936.0,84.1,1592.0,3140.0,50.7,36.0,40.7,35.7,-4.7,459.0,1221.0,407.0,83.0,1711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Moussa Sissoko,fr FRA,MF,31.0,35.8,922.0,1188.0,77.6,14966.0,4705.0,469.0,570.0,82.3,321.0,398.0,80.7,89.0,131.0,67.9,1.0,3.1,2.3,-2.1,37.0,95.0,24.0,11.0,116.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Emmanuel Dennis,ng NGA,"FW,MF",23.0,28.7,411.0,628.0,65.4,5461.0,1617.0,261.0,349.0,74.8,100.0,147.0,68.0,21.0,37.0,56.8,6.0,4.1,2.1,1.9,33.0,26.0,19.0,4.0,61.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Craig Cathcart,nir NIR,DF,32.0,26.6,767.0,953.0,80.5,16030.0,5348.0,231.0,276.0,83.7,418.0,476.0,87.8,112.0,184.0,60.9,1.0,1.2,0.4,-0.2,3.0,48.0,4.0,1.0,52.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Joshua King,no NOR,FW,29.0,25.0,369.0,519.0,71.1,4984.0,1028.0,227.0,290.0,78.3,109.0,153.0,71.2,13.0,18.0,72.2,3.0,3.8,2.3,-0.8,35.0,29.0,17.0,4.0,39.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Ben Foster,eng ENG,GK,38.0,26.0,428.0,886.0,48.3,16732.0,14440.0,38.0,39.0,97.4,137.0,148.0,92.6,253.0,692.0,36.6,1.0,0.1,0.1,0.9,1.0,33.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Kiko Femenía,es ESP,DF,30.0,23.8,867.0,1228.0,70.6,13397.0,6151.0,485.0,566.0,85.7,300.0,425.0,70.6,54.0,166.0,32.5,5.0,3.6,2.3,1.4,25.0,56.0,22.0,9.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Juraj Kucka,sk SVK,MF,34.0,21.3,485.0,713.0,68.0,7757.0,2545.0,244.0,322.0,75.8,176.0,247.0,71.3,39.0,76.0,51.3,1.0,0.9,1.2,0.1,10.0,41.0,7.0,4.0,60.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Ismaila Sarr,sn SEN,"FW,MF",23.0,20.7,332.0,478.0,69.5,4981.0,1253.0,182.0,225.0,80.9,105.0,144.0,72.9,21.0,41.0,51.2,2.0,2.9,2.3,-0.9,21.0,21.0,22.0,4.0,52.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Tom Cleverley,eng ENG,MF,31.0,18.0,479.0,658.0,72.8,7468.0,2178.0,239.0,280.0,85.4,169.0,212.0,79.7,40.0,109.0,36.7,2.0,2.1,1.3,-0.1,20.0,42.0,8.0,5.0,64.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Samir Santos,br BRA,DF,26.0,18.6,538.0,669.0,80.4,10401.0,3673.0,185.0,202.0,91.6,292.0,328.0,89.0,55.0,125.0,44.0,0.0,0.1,0.1,-0.1,2.0,27.0,2.0,0.0,24.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Hassane Kamara,ci CIV,DF,27.0,18.0,637.0,917.0,69.5,10140.0,4864.0,352.0,416.0,84.6,223.0,311.0,71.7,48.0,137.0,35.0,0.0,0.6,0.7,-0.6,10.0,47.0,10.0,4.0,55.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Imran Louza,ma MAR,MF,22.0,15.7,521.0,711.0,73.3,9666.0,3088.0,208.0,254.0,81.9,226.0,284.0,79.6,75.0,143.0,52.4,0.0,1.1,1.1,-1.1,15.0,63.0,8.0,1.0,67.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,João Pedro,br BRA,"FW,MF",19.0,18.3,390.0,581.0,67.1,6100.0,1580.0,210.0,299.0,70.2,122.0,163.0,74.8,38.0,57.0,66.7,1.0,2.8,1.4,-1.8,19.0,43.0,20.0,3.0,77.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,William Troost-Ekong,ng NGA,DF,27.0,15.4,466.0,604.0,77.2,10969.0,4190.0,95.0,112.0,84.8,275.0,316.0,87.0,96.0,165.0,58.2,0.0,0.1,0.1,-0.1,1.0,27.0,0.0,0.0,30.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Adam Masina,ma MAR,DF,27.0,12.0,375.0,549.0,68.3,7252.0,3197.0,147.0,183.0,80.3,178.0,230.0,77.4,47.0,121.0,38.8,1.0,0.7,0.7,0.3,7.0,33.0,7.0,6.0,37.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Christian Kabasele,be BEL,DF,30.0,13.3,373.0,474.0,78.7,7689.0,2857.0,94.0,112.0,83.9,236.0,268.0,88.1,41.0,85.0,48.2,0.0,0.2,0.1,-0.2,2.0,19.0,1.0,1.0,21.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Daniel Bachmann,at AUT,GK,27.0,12.0,216.0,364.0,59.3,7080.0,5483.0,19.0,19.0,100.0,104.0,109.0,95.4,93.0,234.0,39.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Cucho,co COL,"FW,MF",22.0,12.7,239.0,394.0,60.7,3852.0,1368.0,126.0,172.0,73.3,68.0,106.0,64.2,31.0,66.0,47.0,2.0,1.9,1.1,0.1,20.0,21.0,15.0,6.0,39.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Jeremy Ngakia,eng ENG,DF,20.0,10.0,322.0,442.0,72.9,5489.0,2535.0,147.0,175.0,84.0,139.0,172.0,80.8,26.0,61.0,42.6,0.0,0.5,0.6,-0.5,4.0,37.0,7.0,3.0,39.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Edo Kayembe,cd COD,MF,23.0,8.9,374.0,442.0,84.6,6881.0,1938.0,159.0,176.0,90.3,166.0,187.0,88.8,43.0,59.0,72.9,0.0,0.3,0.3,-0.3,6.0,42.0,1.0,0.0,47.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Ken Sema,se SWE,"MF,FW",27.0,9.5,140.0,224.0,62.5,2280.0,758.0,84.0,108.0,77.8,35.0,53.0,66.0,15.0,39.0,38.5,0.0,1.3,1.1,-1.3,12.0,7.0,3.0,2.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Danny Rose,eng ENG,DF,31.0,7.7,227.0,340.0,66.8,4251.0,2344.0,104.0,118.0,88.1,90.0,128.0,70.3,29.0,71.0,40.8,0.0,0.8,0.5,-0.8,5.0,29.0,7.0,1.0,33.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Francisco Sierralta,cl CHI,DF,24.0,4.7,142.0,183.0,77.6,3070.0,927.0,16.0,26.0,61.5,111.0,121.0,91.7,13.0,30.0,43.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Oghenekaro Etebo,ng NGA,MF,25.0,4.5,151.0,168.0,89.9,3035.0,923.0,50.0,54.0,92.6,79.0,85.0,92.9,21.0,26.0,80.8,0.0,0.1,0.2,-0.1,2.0,15.0,3.0,1.0,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Ozan Tufan,tr TUR,MF,26.0,3.7,85.0,122.0,69.7,1332.0,409.0,42.0,53.0,79.2,34.0,47.0,72.3,4.0,8.0,50.0,0.0,0.3,0.1,-0.3,4.0,13.0,2.0,0.0,16.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Samuel Kalu,ng NGA,FW,23.0,2.5,56.0,69.0,81.2,771.0,196.0,40.0,44.0,90.9,11.0,14.0,78.6,3.0,8.0,37.5,0.0,0.1,0.1,-0.1,1.0,3.0,3.0,0.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Nicolas Nkoulou,cm CMR,DF,31.0,1.9,50.0,57.0,87.7,1025.0,223.0,15.0,16.0,93.8,27.0,30.0,90.0,6.0,8.0,75.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Dan Gosling,eng ENG,MF,31.0,1.8,55.0,65.0,84.6,836.0,216.0,31.0,33.0,93.9,19.0,22.0,86.4,4.0,6.0,66.7,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Ashley Fletcher,eng ENG,FW,25.0,0.3,3.0,7.0,42.9,23.0,10.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Troy Deeney,eng ENG,FW,33.0,0.3,3.0,7.0,42.9,24.0,10.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Squad Total,,,28.4,38.0,10423.0,14640.0,71.2,193942.0,80054.0,4505.0,5496.0,82.0,4270.0,5325.0,80.2,1330.0,2903.0,45.8,26.0,32.5,22.4,-6.5,298.0,834.0,213.0,70.0,1070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Watford,Opponent Total,,,26.8,38.0,17339.0,21809.0,79.5,306184.0,104570.0,7667.0,8781.0,87.3,7477.0,8759.0,85.4,1713.0,3083.0,55.6,56.0,49.3,41.0,6.7,425.0,1434.0,381.0,102.0,1742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Teemu Pukki,fi FIN,FW,31.0,36.1,399.0,540.0,73.9,5175.0,838.0,257.0,308.0,83.4,94.0,124.0,75.8,19.0,27.0,70.4,3.0,3.8,2.9,-0.8,27.0,21.0,6.0,1.0,34.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Grant Hanley,sct SCO,DF,29.0,32.2,1089.0,1310.0,83.1,20556.0,6269.0,381.0,445.0,85.6,590.0,650.0,90.8,101.0,183.0,55.2,0.0,0.9,0.4,-0.9,6.0,23.0,3.0,0.0,27.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Max Aarons,eng ENG,DF,21.0,32.0,1107.0,1469.0,75.4,16588.0,6133.0,645.0,713.0,90.5,383.0,511.0,75.0,57.0,160.0,35.6,2.0,1.7,1.7,0.3,20.0,50.0,37.0,9.0,117.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Kenny McLean,sct SCO,MF,29.0,30.1,786.0,1090.0,72.1,13086.0,4130.0,390.0,488.0,79.9,301.0,386.0,78.0,71.0,143.0,49.7,0.0,0.8,1.0,-0.8,10.0,73.0,21.0,0.0,99.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Tim Krul,nl NED,GK,33.0,29.0,759.0,1073.0,70.7,21441.0,14060.0,104.0,105.0,99.0,370.0,382.0,96.9,284.0,583.0,48.7,0.0,0.6,0.5,-0.6,1.0,7.0,1.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Ben Gibson,eng ENG,DF,28.0,27.7,1117.0,1382.0,80.8,22279.0,9598.0,361.0,400.0,90.3,627.0,688.0,91.1,121.0,268.0,45.1,0.0,0.2,0.3,-0.2,3.0,74.0,5.0,0.0,68.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Pierre Lees-Melou,fr FRA,MF,28.0,25.2,807.0,1033.0,78.1,13876.0,4105.0,413.0,483.0,85.5,252.0,299.0,84.3,107.0,169.0,63.3,0.0,1.9,2.4,-1.9,25.0,81.0,26.0,9.0,114.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Milot Rashica,xk KVX,"FW,MF",25.0,24.8,363.0,602.0,60.3,6213.0,1883.0,190.0,240.0,79.2,117.0,207.0,56.5,45.0,105.0,42.9,2.0,2.1,2.4,-0.1,36.0,33.0,20.0,8.0,46.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Brandon Williams,eng ENG,DF,20.0,23.6,899.0,1130.0,79.6,14660.0,5198.0,454.0,524.0,86.6,371.0,460.0,80.7,62.0,106.0,58.5,1.0,1.9,1.4,-0.9,21.0,48.0,19.0,3.0,90.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Billy Gilmour,sct SCO,MF,20.0,20.6,991.0,1243.0,79.7,18498.0,5588.0,456.0,514.0,88.7,357.0,419.0,85.2,152.0,258.0,58.9,1.0,1.4,1.9,-0.4,25.0,94.0,17.0,3.0,112.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Mathias Normann,no NOR,MF,25.0,18.3,546.0,795.0,68.7,10908.0,3882.0,213.0,262.0,81.3,226.0,314.0,72.0,90.0,175.0,51.4,2.0,1.8,1.5,0.2,13.0,59.0,14.0,1.0,75.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Josh Sargent,us USA,"FW,MF",21.0,17.5,292.0,410.0,71.2,3577.0,820.0,208.0,258.0,80.6,63.0,96.0,65.6,8.0,16.0,50.0,1.0,0.9,1.2,0.1,11.0,8.0,5.0,0.0,12.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Dimitris Giannoulis,gr GRE,DF,25.0,13.0,530.0,714.0,74.2,7839.0,2988.0,320.0,367.0,87.2,189.0,253.0,74.7,16.0,62.0,25.8,1.0,0.6,1.0,0.4,9.0,24.0,14.0,2.0,40.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Sam Byram,eng ENG,DF,27.0,11.4,393.0,515.0,76.3,5981.0,1974.0,219.0,248.0,88.3,144.0,197.0,73.1,17.0,36.0,47.2,0.0,0.2,0.3,-0.2,4.0,15.0,2.0,0.0,23.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Ozan Kabak,tr TUR,DF,21.0,10.2,350.0,431.0,81.2,6460.0,2309.0,127.0,147.0,86.4,190.0,213.0,89.2,28.0,56.0,50.0,0.0,0.0,0.2,0.0,2.0,16.0,1.0,0.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Kieran Dowell,eng ENG,"FW,MF",23.0,10.1,223.0,334.0,66.8,3517.0,1068.0,123.0,157.0,78.3,69.0,89.0,77.5,19.0,53.0,35.8,1.0,1.5,1.0,-0.5,16.0,21.0,9.0,3.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Angus Gunn,eng ENG,GK,25.0,9.0,208.0,307.0,67.8,5494.0,3524.0,60.0,60.0,100.0,72.0,73.0,98.6,74.0,168.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Lukas Rupp,de GER,MF,30.0,8.5,322.0,391.0,82.4,4884.0,1244.0,170.0,191.0,89.0,116.0,129.0,89.9,22.0,35.0,62.9,0.0,1.4,1.1,-1.4,9.0,24.0,5.0,1.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Adam Idah,ie IRL,"FW,MF",20.0,6.9,95.0,150.0,63.3,1466.0,288.0,53.0,68.0,77.9,32.0,46.0,69.6,5.0,10.0,50.0,1.0,0.6,0.5,0.4,5.0,8.0,5.0,2.0,10.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Jakob Sørensen,dk DEN,"MF,DF",23.0,6.7,251.0,309.0,81.2,4615.0,1347.0,98.0,111.0,88.3,117.0,132.0,88.6,29.0,50.0,58.0,0.0,0.0,0.1,0.0,0.0,21.0,2.0,1.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Przemysław Płacheta,pl POL,"FW,MF",23.0,5.6,109.0,163.0,66.9,1640.0,469.0,65.0,77.0,84.4,30.0,44.0,68.2,8.0,19.0,42.1,0.0,0.8,0.6,-0.8,4.0,6.0,5.0,2.0,10.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Todd Cantwell,eng ENG,"FW,MF",23.0,4.9,130.0,157.0,82.8,1766.0,386.0,84.0,93.0,90.3,35.0,43.0,81.4,5.0,10.0,50.0,0.0,0.1,0.4,-0.1,2.0,13.0,2.0,0.0,10.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Andrew Omobamidele,ie IRL,DF,19.0,4.2,197.0,235.0,83.8,3559.0,1026.0,75.0,85.0,88.2,100.0,115.0,87.0,18.0,27.0,66.7,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Christos Tzolis,gr GRE,"FW,MF",19.0,3.7,75.0,104.0,72.1,1152.0,287.0,41.0,51.0,80.4,26.0,31.0,83.9,5.0,15.0,33.3,0.0,0.7,0.6,-0.7,8.0,1.0,3.0,0.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Christoph Zimmermann,de GER,DF,28.0,1.7,46.0,63.0,73.0,817.0,404.0,15.0,19.0,78.9,23.0,27.0,85.2,5.0,12.0,41.7,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Tony Springett,eng ENG,"MF,FW",18.0,1.6,25.0,38.0,65.8,348.0,78.0,16.0,22.0,72.7,9.0,10.0,90.0,0.0,2.0,0.0,0.0,0.5,0.0,-0.5,2.0,1.0,1.0,1.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Jon Rowe,eng ENG,"FW,MF",18.0,2.5,48.0,72.0,66.7,534.0,142.0,34.0,42.0,81.0,8.0,10.0,80.0,1.0,7.0,14.3,1.0,0.5,0.2,0.5,5.0,4.0,2.0,0.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Bali Mumba,eng ENG,DF,19.0,0.5,7.0,10.0,70.0,78.0,27.0,6.0,6.0,100.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Norwich City,Squad Total,,,26.2,38.0,12164.0,16070.0,75.7,217007.0,80065.0,5578.0,6484.0,86.0,4912.0,5949.0,82.6,1369.0,2757.0,49.7,16.0,24.3,23.7,-8.3,264.0,739.0,226.0,46.0,1031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
