Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2017-2018,EPL,Manchester City,Ederson,br BRA,GK,23.0,35.5,26.0,0.0,1.0,1.0,2.0,23.9,0.28,-0.1,0.0,110.0,230.0,47.8,935.0,167.0,15.5,26.2,160.0,53.1,46.1,265.0,19.0,7.2,87.0,2.45,18.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Claudio Bravo,cl CHI,GK,34.0,2.5,1.0,0.0,0.0,0.0,0.0,1.6,0.31,0.6,0.22,4.0,9.0,44.4,61.0,16.0,6.6,25.3,10.0,50.0,39.5,21.0,2.0,9.5,3.0,1.19,15.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Squad Total,,,26.4,38.0,27.0,0.0,1.0,1.0,2.0,25.5,0.28,0.5,0.01,114.0,239.0,47.7,996.0,183.0,15.0,26.2,170.0,52.9,45.7,286.0,21.0,7.3,90.0,2.37,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester City,Opponent Total,,,26.9,38.0,106.0,6.0,1.0,10.0,3.0,90.2,0.33,-12.8,-0.34,311.0,936.0,33.2,875.0,105.0,65.6,45.7,407.0,88.9,61.2,492.0,17.0,3.5,24.0,0.63,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester Utd,David de Gea,es ESP,GK,26.0,37.0,28.0,1.0,1.0,5.0,2.0,38.5,0.28,12.5,0.34,232.0,613.0,37.8,799.0,147.0,48.6,39.6,290.0,77.6,55.8,483.0,16.0,3.3,21.0,0.57,12.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester Utd,Sergio Romero,ar ARG,GK,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.31,0.9,0.93,6.0,14.0,42.9,18.0,5.0,44.4,37.4,7.0,85.7,58.3,18.0,1.0,5.6,0.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester Utd,Squad Total,,,26.7,38.0,28.0,1.0,1.0,5.0,2.0,39.4,0.28,13.4,0.35,238.0,627.0,38.0,817.0,152.0,48.5,39.6,297.0,77.8,55.8,501.0,17.0,3.4,21.0,0.55,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Manchester Utd,Opponent Total,,,26.9,38.0,68.0,1.0,2.0,6.0,1.0,55.9,0.31,-11.1,-0.29,241.0,701.0,34.4,871.0,147.0,55.2,41.7,276.0,79.7,57.3,556.0,30.0,5.4,47.0,1.24,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Tottenham,Hugo Lloris,fr FRA,GK,30.0,36.0,35.0,2.0,1.0,7.0,0.0,33.7,0.27,-1.3,-0.04,154.0,386.0,39.9,938.0,169.0,29.9,33.4,227.0,46.7,41.5,428.0,17.0,4.0,75.0,2.08,15.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Tottenham,Paulo Gazzaniga,ar ARG,GK,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.7,0.74,3.0,7.0,42.9,17.0,3.0,29.4,32.9,8.0,25.0,30.9,10.0,2.0,20.0,1.0,1.0,12.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Tottenham,Michel Vorm,nl NED,GK,33.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.13,0.5,0.53,2.0,4.0,50.0,17.0,2.0,5.9,26.5,9.0,33.3,32.4,14.0,0.0,0.0,2.0,2.0,17.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Tottenham,Squad Total,,,25.8,38.0,36.0,2.0,1.0,7.0,1.0,35.0,0.27,0.0,0.0,159.0,397.0,40.1,972.0,174.0,29.4,33.3,244.0,45.5,40.8,452.0,19.0,4.2,78.0,2.05,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Tottenham,Opponent Total,,,26.9,38.0,74.0,2.0,0.0,5.0,4.0,71.5,0.33,1.5,0.04,303.0,929.0,32.6,945.0,146.0,64.9,46.5,345.0,91.6,60.9,635.0,23.0,3.6,28.0,0.74,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
