Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2001-2002,Ligue1,Metz,Pascal Pierre,fr FRA,DF,33.0,15.1,1.0,,1.0,,,0.07,,1.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Jonathan Jäger,fr FRA,FW,23.0,16.6,6.0,,17.0,,,1.03,,0.35,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Sylvain Marchal,fr FRA,DF,21.0,15.9,1.0,,2.0,,,0.13,,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Christophe Bastien,fr FRA,MF,25.0,15.2,5.0,,14.0,,,0.92,,0.29,,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Franck Signorino,fr FRA,DF,19.0,12.4,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Gunter Van Handenhoven,be BEL,"FW,MF",22.0,10.2,0.0,,1.0,,,0.1,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Mario Espartero,fr FRA,MF,23.0,9.1,0.0,,3.0,,,0.33,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Tressor Moreno,co COL,"FW,MF",22.0,8.0,1.0,,6.0,,,0.75,,0.17,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Emmanuel Adebayor,tg TOG,FW,17.0,7.9,2.0,,6.0,,,0.76,,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Schumann Bah,gn GUI,DF,26.0,8.1,1.0,,4.0,,,0.49,,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Philippe Gaillot,fr FRA,DF,36.0,6.0,2.0,,3.0,,,0.5,,0.67,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Ludovic Butelle,fr FRA,GK,18.0,5.7,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Joseph-Désiré Job,cm CMR,"FW,MF",23.0,4.6,2.0,,8.0,,,1.74,,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Alexandre Frutos,fr FRA,"FW,MF",19.0,3.4,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Johan Liébus,fr FRA,GK,22.0,3.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Franck Béria,fr FRA,DF,18.0,2.6,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Aïmen Demai,dz ALG,"DF,MF",18.0,1.6,0.0,,3.0,,,1.9,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Kasım Yıldız,tr TUR,MF,20.0,1.5,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Serhiy Skachenko,ua UKR,FW,28.0,1.2,0.0,,1.0,,,0.82,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Eric Hassli,fr FRA,FW,20.0,1.1,0.0,,1.0,,,0.87,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Oumar Sané,sn SEN,MF,25.0,0.6,0.0,,1.0,,,1.67,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Squad Total,,,27.0,,30.0,,133.0,,,3.91,,0.21,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Metz,Opponent Total,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Christophe Ferron,fr FRA,DF,30.0,31.0,0.0,,2.0,,,0.06,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Jean-Claude Darcheville,fr FRA,FW,26.0,29.8,19.0,,44.0,,,1.48,,0.36,,3.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Pascal Feindouno,gn GUI,"FW,MF",20.0,27.9,6.0,,25.0,,,0.9,,0.24,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Loïc Druon,fr FRA,DF,29.0,25.1,1.0,,5.0,,,0.2,,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Jacques Abardonado,fr FRA,DF,23.0,24.8,0.0,,1.0,,,0.04,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Tchiressoua Guel,ci CIV,MF,25.0,21.9,6.0,,13.0,,,0.59,,0.46,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Seydou Keita,ml MLI,MF,21.0,20.1,0.0,,8.0,,,0.4,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Arnaud Le Lan,fr FRA,DF,23.0,18.6,1.0,,5.0,,,0.27,,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Anthony Gauvin,fr FRA,"DF,MF",27.0,19.1,0.0,,5.0,,,0.26,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Stéphane Le Garrec,fr FRA,GK,32.0,19.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Sébastien Hamel,fr FRA,GK,25.0,15.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,David Bouard,fr FRA,MF,24.0,14.7,2.0,,3.0,,,0.2,,0.67,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Cédric Chabert,fr FRA,MF,27.0,12.4,1.0,,7.0,,,0.57,,0.14,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Yohan Bouzin,fr FRA,DF,26.0,12.3,0.0,,1.0,,,0.08,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Pascal Delhommeau,fr FRA,DF,22.0,12.0,0.0,,5.0,,,0.42,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Ulrich Le Pen,fr FRA,MF,27.0,11.7,0.0,,8.0,,,0.69,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Richard Martini,fr FRA,DF,22.0,10.8,1.0,,4.0,,,0.37,,0.25,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Pape Malick Diop,sn SEN,"DF,MF",26.0,8.9,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Pascal Bedrossian,fr FRA,"FW,MF",26.0,9.2,0.0,,3.0,,,0.32,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Moussa Saïb,dz ALG,MF,32.0,5.7,1.0,,2.0,,,0.35,,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Hernán Medina,ar ARG,MF,26.0,5.1,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Élie Kroupi,ci CIV,FW,21.0,7.5,2.0,,5.0,,,0.67,,0.4,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Nicolas Esceth-N'Zi,ci CIV,MF,24.0,4.3,2.0,,7.0,,,1.63,,0.29,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Xavier Dudoit,fr FRA,MF,26.0,2.4,0.0,,3.0,,,1.26,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Guillaume Norbert,fr FRA,"DF,MF",21.0,2.0,0.0,,1.0,,,0.51,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Nicolas Cloarec,fr FRA,MF,24.0,1.4,0.0,,1.0,,,0.72,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Johan Cavalli,fr FRA,MF,19.0,1.2,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Squad Total,,,25.9,,42.0,,158.0,,,4.65,,0.25,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lorient,Opponent Total,,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
