Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2017-2018,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,28.0,29.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,84.0,8.0,2.0,80.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,DF,22.0,25.9,1.0,0.0,0.0,17.0,52.0,2.0,212.0,20.0,23.0,1.0,1.0,0.0,,140.0,20.0,18.0,52.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Mats Hummels,de GER,DF,28.0,24.6,3.0,0.0,0.0,18.0,6.0,1.0,5.0,55.0,52.0,0.0,0.0,0.0,,145.0,72.0,39.0,64.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,28.0,24.1,1.0,0.0,0.0,37.0,37.0,25.0,15.0,5.0,3.0,2.0,0.0,0.0,,51.0,49.0,61.0,44.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Thomas Müller,de GER,"MF,FW",27.0,22.3,4.0,0.0,0.0,21.0,14.0,10.0,79.0,7.0,30.0,0.0,0.0,0.0,,52.0,33.0,47.0,41.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,21.0,21.4,1.0,0.0,0.0,16.0,11.0,0.0,5.0,33.0,25.0,0.0,2.0,3.0,,108.0,43.0,28.0,60.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Rafinha,br BRA,DF,31.0,20.6,4.0,0.0,0.0,23.0,30.0,0.0,59.0,32.0,33.0,0.0,0.0,0.0,,117.0,18.0,20.0,47.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,28.0,18.2,4.0,0.0,0.0,14.0,7.0,0.0,19.0,21.0,18.0,0.0,0.0,0.0,,106.0,33.0,13.0,71.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,James Rodríguez,co COL,"MF,FW",26.0,18.0,2.0,0.0,0.0,22.0,33.0,4.0,132.0,12.0,27.0,0.0,0.0,0.0,,126.0,6.0,12.0,33.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Arjen Robben,nl NED,"FW,MF",33.0,16.7,0.0,0.0,0.0,10.0,25.0,9.0,65.0,4.0,11.0,1.0,0.0,0.0,,52.0,16.0,11.0,59.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Javi Martínez,es ESP,"MF,DF",28.0,17.9,1.0,0.0,0.0,16.0,18.0,0.0,7.0,33.0,22.0,0.0,0.0,0.0,,70.0,57.0,30.0,65.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Corentin Tolisso,fr FRA,MF,22.0,17.5,3.0,0.0,0.0,21.0,39.0,0.0,12.0,16.0,22.0,1.0,0.0,0.0,,64.0,20.0,27.0,42.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,David Alaba,at AUT,DF,25.0,17.2,1.0,0.0,0.0,9.0,6.0,2.0,94.0,10.0,14.0,0.0,0.0,0.0,,85.0,15.0,17.0,46.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Arturo Vidal,cl CHI,MF,30.0,16.2,6.0,0.0,0.0,45.0,17.0,4.0,8.0,28.0,51.0,0.0,0.0,0.0,,108.0,38.0,33.0,53.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Sebastian Rudy,de GER,MF,27.0,16.8,2.0,0.0,0.0,21.0,15.0,0.0,37.0,18.0,40.0,0.0,0.0,0.0,,81.0,18.0,7.0,72.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"FW,MF",34.0,13.4,3.0,0.0,0.0,11.0,41.0,2.0,39.0,7.0,16.0,0.0,0.0,0.0,,72.0,2.0,5.0,28.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Thiago Alcántara,es ESP,"MF,FW",26.0,13.9,3.0,0.0,0.0,24.0,14.0,1.0,13.0,27.0,35.0,1.0,0.0,0.0,,77.0,21.0,17.0,55.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Juan Bernat,es ESP,"DF,FW",24.0,9.9,1.0,0.0,0.0,5.0,12.0,1.0,23.0,10.0,19.0,0.0,0.0,0.0,,34.0,11.0,17.0,39.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",21.0,12.8,0.0,0.0,0.0,7.0,20.0,2.0,57.0,7.0,10.0,1.0,0.0,0.0,,62.0,15.0,11.0,57.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Sandro Wagner,de GER,FW,29.0,8.1,1.0,0.0,0.0,23.0,10.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,,7.0,17.0,24.0,41.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Lars Lukas Mai,de GER,DF,17.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,,11.0,3.0,4.0,42.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Tom Starke,de GER,GK,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Franck Evina,cm CMR,FW,17.0,1.2,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,6.0,2.0,1.0,66.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Niklas Dorsch,de GER,MF,19.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,7.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Meritan Shabani,al ALB,FW,18.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Marco Friedl,at AUT,MF,19.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,,3.0,1.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Kwasi Okyere Wriedt,gh GHA,MF,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,1.0,0.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Squad Total,,,27.4,34.0,,,0.0,366.0,413.0,67.0,893.0,355.0,467.0,7.0,4.0,3.0,,1687.0,518.0,448.0,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Bayern Munich,Opponent Total,,,25.3,34.0,49.0,2.0,0.0,424.0,347.0,51.0,347.0,411.0,472.0,3.0,8.0,2.0,,1334.0,448.0,518.0,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Naldo,br BRA,DF,34.0,34.0,5.0,0.0,0.0,34.0,18.0,1.0,0.0,55.0,36.0,0.0,2.0,0.0,,180.0,159.0,40.0,79.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Ralf Fährmann,de GER,GK,28.0,33.5,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,31.0,9.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Daniel Caligiuri,it ITA,"DF,MF",29.0,32.4,4.0,0.0,0.0,38.0,43.0,0.0,168.0,67.0,66.0,0.0,0.0,0.0,,235.0,26.0,24.0,52.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Thilo Kehrer,de GER,DF,20.0,26.3,4.0,0.0,0.0,35.0,29.0,2.0,3.0,35.0,64.0,1.0,0.0,0.0,,125.0,55.0,48.0,53.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Bastian Oczipka,de GER,"DF,MF",28.0,25.8,2.0,0.0,0.0,20.0,52.0,2.0,164.0,40.0,48.0,0.0,1.0,0.0,,127.0,13.0,25.0,34.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Guido Burgstaller,at AUT,FW,28.0,25.8,8.0,0.0,0.0,43.0,52.0,30.0,21.0,10.0,9.0,0.0,0.0,0.0,,81.0,32.0,81.0,28.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Benjamin Stambouli,fr FRA,"DF,MF",26.0,24.4,4.0,0.0,0.0,45.0,15.0,0.0,2.0,64.0,75.0,0.0,2.0,1.0,,138.0,42.0,32.0,56.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Amine Harit,ma MAR,"MF,FW",20.0,22.7,3.0,0.0,0.0,19.0,94.0,7.0,26.0,19.0,27.0,3.0,0.0,0.0,,135.0,12.0,17.0,41.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Bundesliga,Schalke 04,Matija Nastasić,rs SRB,DF,24.0,22.1,6.0,1.0,1.0,36.0,6.0,1.0,1.0,36.0,38.0,0.0,1.0,0.0,,101.0,43.0,27.0,61.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
